,index,run_ID,n_samp,time_start,time_end,duration,duration_float,n_trades,tot_trade_vol,trade_vol_h,tot_trade_vol_2,trade_vol_h_2,n_targ_tot,n_targ_1,n_targ_2,n_targ_3,n_SL_tot,n_SL_1,n_SL_2,n_SL_3,accuracy_tot,accuracy_1,accuracy_2,accuracy_3,price_start,price_end,price_X,price_SD,price_min,price_max,spread_bp_X,spread_bp_SD,PNL_glob,PNL_trade,PNL_disp,pred_on_time,pred_len,pred_len_X,pred_len_SD,pred_len_min,pred_len_max,pred_size,pred_size_X,pred_size_SD,pred_size_min,pred_size_max
0,2,3,52340,2024-01-12 16:32:22.003,2024-01-13 07:16:35.003,0 days 14:44:13,14.53888888888889,86,0.4384806028770162,0.030159154955239933,18930.961548612297,1302.0913560375288,50,20,17,13,36,18,8,10,58.139534883720934,52.63157894736842,68.0,56.52173913043478,44208.0,43256.99,43174,472,41500,44216,0.8472074535866759,1.0553642602101647,0.387384743678891,0.7186081643173194,-0.008683618936156906,70.47,"[39, 1501, 295, 1, 0, 0, 0, 324, 84, 117, 153, 319, 352, 179, 985, 217, 414, 860, 320, 342, 865, 789, 704, 465, 189, 65, 242, 460, 90, 69, 283, 462, 304, 991, 315, 254, 189, 70, 891, 45, 67, 0, 163, 0, 1030, 37, 1501, 958, 821, 144, 1501, 1501, 1501, 1501, 32, 165, 247, 186, 351, 1221, 583, 1501, 26, 88, 158, 133, 1501, 163, 156, 119, 0, 336, 308, 83, 379, 162, 197, 175, 997, 1501, 514, 299, 332, 0, 0, 0]",428,466,0,1501,"[137.0, 545.2772499999992, 164.37750000000233, 108.94795000000158, 108.87497499999881, 108.73984999999811, 108.90965000000142, 108.87039999999979, 135.9260937500003, 136.37143749999814, 162.8625000000029, 163.35101250000298, 136.80815625000105, 163.60545000000275, 164.14361249999638, 82.4817750000002, 137.22462500000256, 136.78125, 108.91402499999822, 163.13996249999764, 163.64459999999963, 108.74500000000262, 218.08400000000256, 81.9675750000024, 81.77930624999863, 81.95673749999696, 81.8969625000027, 109.10929999999644, 82.12897499999963, 81.95626875000016, 82.095524999997, 82.3489499999996, 110.16500000000087, 219.79060000000027, 109.56662499999948, 164.74139999999898, 109.4334250000029, 109.68192499999714, 109.31064999999944, 54.543837500001246, 54.48978750000242, 54.26864999999816, 108.74500000000262, 108.8200250000009, 163.25205000000278, 161.49210000000312, 1062.876750000003, 264.1241250000021, 132.89274999999907, 106.8399750000026, 322.1408999999985, 214.62195000000065, 150.22087499999907, 107.26000000000204, 53.58733750000101, 53.674112499997136, 53.584787500003586, 107.01727499999834, 106.72592499999882, 133.4808750000011, 106.95825000000332, 107.04502499999944, 37.2986075000008, 37.2917737500029, 37.31841749999876, 53.21603750000213, 148.98099999999977, 53.35916249999718, 53.409912499999336, 37.320605000000796, 53.553312500000175, 53.55561250000028, 37.55674125000223, 37.52947624999797, 37.529694999997446, 53.580512499996985, 37.55773000000045, 37.66290499999741, 75.2427549999993, 75.51300749999791, 54.01772499999788, 53.93651249999675, 53.84081249999872, 54.0199999999968, 37.82243500000186, 37.82148125000094]",119,125,37,1062
1,4,5,65723,2024-01-18 09:39:14.003,2024-01-19 06:01:58.010,0 days 20:22:44.007000,18.25638888888889,118,0.6481500000000001,0.035502639867321946,26978.595600000004,1477.7618818374087,58,24,13,21,60,34,9,17,49.152542372881356,41.37931034482759,59.09090909090909,55.26315789473685,42717.61,41057.69,41624,666,40561,42727,0.7377317583627117,0.3683138029810486,-0.5543782320924822,-0.5267917619308102,-0.03568565410791934,48.3,"[65, 243, 417, 339, 135, 27, 1501, 150, 255, 695, 5, 197, 52, 233, 653, 1501, 310, 227, 301, 308, 285, 1292, 113, 122, 106, 324, 316, 0, 0, 220, 126, 36, 68, 259, 219, 122, 798, 161, 150, 764, 46, 51, 18, 376, 196, 323, 95, 392, 612, 1501, 43, 42, 522, 488, 319, 245, 25, 116, 40, 414, 0, 0, 0, 0, 145, 380, 110, 277, 232, 245, 81, 70, 279, 105, 647, 87, 138, 207, 153, 256, 563, 197, 189, 858, 573, 195, 332, 98, 45, 630, 73, 285, 82, 0, 0, 0, 0, 0, 138, 136, 18, 87, 1250, 25, 338, 89, 19, 95, 119, 139, 786, 559, 135, 0, 0, 912, 226, 182]",269,318,0,1501,"[26.688731249996636, 37.324962500002584, 63.91157999999996, 63.83167500000127, 26.549050000001444, 37.14314624999679, 105.80677499999729, 37.04564499999833, 37.02176624999993, 37.09762000000046, 26.489881250003236, 26.45961250000255, 36.993249999999534, 37.022947500001465, 37.02788249999867, 84.58239999999932, 36.99809749999986, 37.07286624999688, 53.06064999999944, 53.121774999999616, 74.195590000003, 74.26093499999843, 37.08510750000278, 53.19583750000311, 37.30887999999686, 85.25005999999848, 53.15582500000164, 37.171828749997076, 37.08550125000329, 37.109012499997334, 37.04091999999946, 37.00558750000346, 36.8546237499977, 157.58954999999696, 156.71669999999722, 130.15875000000233, 156.74921249999898, 78.23366250000254, 52.506249999998545, 104.49414999999863, 78.08308124999894, 77.89125000000058, 77.74906875000306, 207.6797000000006, 208.75994999999966, 129.74981249999837, 129.4500312500022, 103.40492500000255, 129.59999999999854, 206.92515000000276, 51.625, 103.13500000000204, 102.93222499999683, 103.48502500000177, 77.32852499999717, 102.87804999999935, 102.61437499999738, 102.35844999999972, 152.79003750000265, 153.1623000000036, 102.17455000000336, 102.0433750000011, 101.92500000000291, 101.94862499999726, 76.3641562499979, 76.18876874999842, 127.28837499999645, 127.6171875, 204.8000000000029, 205.74319999999716, 102.2497000000003, 101.8188749999972, 101.99707499999931, 102.2468000000008, 102.04027499999938, 76.3239187500003, 102.28942500000267, 101.89127500000177, 76.73962500000198, 76.81545000000187, 102.66999999999825, 51.38572500000009, 77.0159249999997, 102.84157499999856, 36.013740000002144, 61.769054999997024, 51.38382499999716, 25.717806250002468, 25.7074999999968, 36.00727375000133, 51.38749999999709, 51.383074999997916, 51.28043749999779, 71.88236999999936, 71.9065724999964, 71.92008250000072, 71.9522649999999, 25.71229999999923, 35.97702500000014, 25.655449999998382, 25.652137500001118, 25.632106249999197, 51.2150124999971, 25.558756250000442, 51.176274999997986, 35.732313749998866, 50.80223750000005, 50.94481249999808, 76.37516250000044, 76.56187499999942, 76.65367500000139, 51.16501250000147, 25.651174999999057, 25.61792499999865, 25.64979999999923, 35.91885500000353, 25.64820000000327, 25.681406249997963]",74,44,25,208
2,5,6,66074,2024-01-19 09:37:32.004,2024-01-20 04:58:01.003,0 days 19:20:28.999000,18.35388888888889,101,0.5030992640175654,0.027411044442038252,20756.366335572697,1130.8974605451722,58,26,19,13,43,16,13,14,57.42574257425742,61.904761904761905,59.375,48.148148148148145,41115.57,41505.82,41257,348,40153,42029,0.724130807623413,0.48449073880881616,0.5076985295224518,0.02795694696894811,0.0,55.98,"[118, 894, 312, 146, 124, 73, 1175, 426, 81, 511, 84, 536, 283, 124, 371, 49, 33, 346, 201, 247, 35, 147, 160, 98, 345, 243, 304, 366, 344, 388, 117, 727, 637, 1, 0, 223, 508, 382, 440, 657, 361, 672, 453, 326, 1016, 241, 1051, 25, 161, 544, 596, 125, 109, 196, 812, 50, 8, 25, 19, 48, 316, 365, 1147, 281, 310, 405, 205, 46, 218, 131, 354, 61, 839, 54, 309, 1501, 165, 259, 167, 466, 389, 122, 425, 189, 571, 1319, 216, 168, 1501, 188, 128, 26, 230, 1339, 0, 4, 31, 238, 1457, 256, 1501]",366,371,0,1501,"[36.08567374999984, 36.08540250000078, 36.10678750000079, 36.095815000000584, 36.0714375000025, 36.05653624999832, 36.14986374999717, 36.16889500000252, 25.81760000000213, 36.16587625000102, 25.79626250000001, 36.06905749999714, 25.73905625000043, 36.06072750000021, 25.741318749998754, 25.738693749997765, 25.704187499999534, 36.017659999997704, 25.775674999997136, 36.05850500000088, 25.71624999999767, 25.718318749997707, 36.00439500000357, 36.11238749999757, 36.03214999999909, 36.00350250000338, 35.906421250001586, 102.37667499999952, 76.65478124999936, 76.50613124999654, 203.74719999999797, 153.35895000000164, 101.84307499999704, 102.14362499999697, 102.13769999999931, 102.03022500000225, 101.7627250000005, 101.95062499999767, 76.57498124999984, 142.4574550000034, 203.111149999997, 151.623225000003, 100.62705000000278, 100.85652500000288, 125.70765625000058, 201.80965000000288, 101.29927499999758, 76.40623125000275, 153.69404999999824, 153.1348874999967, 76.93235624999943, 51.19748750000144, 51.15419999999722, 77.2512937499996, 77.35325624999678, 51.6875, 51.87234999999782, 51.9375, 52.026200000000244, 129.89896874999977, 130.3608749999985, 103.85345000000234, 103.60749999999825, 52.1339500000031, 104.23129999999946, 52.03650000000198, 73.00104000000283, 73.13848500000313, 78.5978249999971, 78.40850625000166, 78.30001875000016, 78.56199375000142, 78.29600624999875, 103.52032499999768, 103.96499999999651, 129.70578124999884, 51.81067500000063, 51.8804999999993, 51.82086249999702, 72.5757900000026, 36.26008749999892, 36.25048875000357, 36.284123750003346, 51.93193749999773, 51.84516250000161, 51.8373625000022, 51.81304999999702, 36.17295500000182, 51.706624999998894, 36.257068749997416, 25.915318749997823, 25.96116250000341, 25.958262499996636, 36.28156000000308, 20.714805000003253, 20.70073499999853, 20.70354000000225, 20.70799999999872, 36.27410499999678, 20.741659999999683, 62.24579999999696]",67,42,20,203
3,7,8,28395,2024-01-22 10:07:36.003,2024-01-22 18:35:03.003,0 days 08:27:27,7.8875,57,0.28459,0.036081141045958796,11567.44514,1466.5540589540412,30,9,12,9,27,7,13,7,52.63157894736842,56.25,48.0,56.25,40736.6,40490.35,40646,158,40283,41126,0.5799861043232882,0.3715680615183281,-0.13322319257312193,0.032574456228557966,-0.023846592693427884,55.18,"[31, 37, 10, 45, 46, 163, 1501, 68, 886, 266, 199, 56, 468, 1, 340, 139, 73, 118, 228, 30, 68, 572, 410, 4, 43, 41, 43, 0, 390, 64, 698, 404, 667, 53, 265, 81, 400, 60, 535, 996, 31, 287, 814, 317, 221, 456, 59, 49, 129, 1406, 188, 570, 154, 40, 448, 0, 0]",274,331,0,1501,"[50.95393750000221, 50.80655000000115, 50.64560000000347, 50.49023750000197, 50.442512499997974, 126.13746874999924, 303.375, 71.39166999999725, 76.35003750000033, 35.67640124999889, 50.851199999997334, 35.690226250000705, 35.6912674999985, 35.5543650000036, 35.59320624999964, 35.62936125000124, 35.64782374999777, 35.68600000000151, 35.727501250003115, 35.68033000000287, 35.72462249999808, 51.34687500000291, 76.80785625000135, 51.07516249999753, 35.69959750000271, 50.93091249999998, 50.61230000000069, 50.70251250000001, 101.40892500000336, 101.15037499999744, 101.59907499999827, 76.20847499999945, 101.30127499999799, 50.48500000000058, 50.446224999999686, 100.93497499999648, 101.04649999999674, 100.9461999999985, 101.11559999999736, 203.68035000000236, 75.99879374999728, 75.81386249999923, 151.90361249999842, 75.79499999999825, 75.89609999999811, 76.00430624999717, 50.55038749999949, 50.67755000000034, 75.94663125000079, 101.50695000000269, 50.89758750000328, 50.85572500000126, 35.546000000002095, 35.550908750003146, 50.718150000000605, 35.57923250000022, 35.480759999998554]",69,45,35,303
4,8,9,29316,2024-01-23 01:23:57.003,2024-01-23 10:47:14.004,0 days 09:23:17.001000,8.143333333333333,48,0.26533053606192925,0.032582546385009736,10535.479595411025,1293.7551693095816,24,10,8,6,24,10,8,6,50.0,50.0,50.0,50.0,39769.41,39049.09,39707,359,38870,40085,0.6459730689894733,0.24774733600028534,0.01030824159571634,-0.15589314814626348,0.03405541476578897,45.4,"[683, 0, 17, 0, 0, 993, 343, 373, 80, 147, 103, 580, 0, 0, 24, 0, 307, 48, 710, 0, 271, 566, 69, 45, 97, 197, 513, 166, 229, 142, 30, 120, 276, 699, 586, 238, 59, 67, 693, 206, 927, 512, 1113, 611, 193, 48, 64, 163]",277,293,0,1113,"[34.85435624999809, 24.976806250000664, 24.971712500002468, 24.96345624999958, 24.967987500000163, 49.96922500000073, 35.03215625000303, 24.96793125000113, 34.98277124999731, 24.966612500000338, 24.96673125000234, 24.969737500003248, 20.037255000002915, 20.046164999999746, 20.033219999997527, 20.037414999998873, 20.034520000001066, 20.01284499999747, 20.015800000001036, 19.97776999999769, 24.97091874999751, 60.00106499999674, 24.950550000001385, 24.96549999999843, 24.885925000002317, 49.733549999997194, 49.733274999998685, 49.565074999998615, 49.612137500000244, 49.513362500001676, 49.49064999999973, 49.4302749999988, 74.1979124999998, 74.04084375000093, 98.62307500000315, 98.32687499999884, 98.54980000000069, 98.154475000003, 122.36171874999854, 97.65499999999884, 291.9900750000015, 196.15490000000136, 146.3218124999985, 97.60542500000156, 34.237603749999835, 34.14870374999737, 34.133382499996515, 34.11255749999691]",55,50,19,291
